Order Number,Item Name,Item #,Quantity,Item Cost
699,Kalebas,4,1,15.0
698,Yerba mate set,1,1,-2.0
698,Bombilla,2,1,9.0
698,Yerba mate,3,1,9.0
698,Kalebas,4,1,16.0
697,Yerba mate set,1,1,-2.0
697,Bombilla,2,1,8.0
697,Yerba mate,3,1,8.0
697,Kalebas,4,1,15.0
696,Yerba mate set,1,1,-2.0
696,Bombilla,2,1,8.0
696,Yerba mate,3,1,8.0
696,Kalebas,4,1,15.0
688,Yerba mate set,1,1,-2.0
688,Bombilla,2,1,8.0
688,Yerba mate,3,1,8.0
688,Kalebas,4,1,15.0
687,Yerba mate set,1,1,-2.0
687,Bombilla,2,1,9.0
687,Yerba mate,3,1,9.0
687,Kalebas,4,1,16.0
686,Yerba mate set,1,1,-2.0
686,Bombilla,2,1,8.0
686,Yerba mate,3,1,8.0
686,Kalebas,4,1,15.0
685,Yerba mate set,1,1,-2.0
685,Bombilla,2,1,8.0
685,Yerba mate,3,1,8.0
685,Kalebas,4,1,15.0
684,Yerba mate set,1,1,-2.0
684,Bombilla,2,1,8.0
684,Yerba mate,3,1,8.0
684,Kalebas,4,1,15.0
682,Yerba mate set,1,2,-2.0
682,Bombilla,2,2,8.0
682,Yerba mate,3,2,8.0
682,Kalebas,4,2,15.0
681,Yerba mate set,1,1,-2.0
681,Bombilla,2,1,8.0
681,Yerba mate,3,1,8.0
681,Kalebas,4,1,15.0
680,Yerba mate,1,1,8.0
678,Kalebas,1,1,15.0
678,Bombilla,2,1,8.0
677,Yerba mate,1,2,8.0
676,Yerba mate set,1,1,-2.0
676,Bombilla,2,1,8.0
676,Yerba mate,3,1,8.0
676,Afrekenen,4,1,15.0
675,Kalebas,1,1,15.0
674,Yerba mate set,1,1,-2.0
674,Bombilla,2,1,8.0
674,Yerba mate,3,1,8.0
674,Kalebas,4,1,15.0
673,Yerba mate set,1,1,-2.0
673,Bombilla,2,1,8.0
673,Yerba mate,3,1,8.0
673,Kalebas,4,1,15.0
672,Yerba mate set compleet,1,1,38.0
671,Yerba mate set,1,1,-2.0
671,Bombilla,2,1,8.0
671,Yerba mate,3,1,8.0
671,Kalebas,4,1,15.0
671,Yerba mate,5,1,8.0
670,Yerba mate set,1,1,-2.0
670,Bombilla,2,1,8.0
670,Yerba mate,3,1,8.0
670,Kalebas,4,1,15.0
670,Kalebas,5,1,15.0
670,Bombilla,6,1,8.0
669,Yerba mate set,1,1,-2.0
669,Bombilla,2,1,9.0
669,Yerba mate,3,1,9.0
669,Kalebas,4,1,16.0
668,Yerba mate set,1,1,-2.0
668,Bombilla,2,1,8.0
668,Yerba mate,3,1,8.0
668,Kalebas,4,1,15.0
667,Yerba mate set,1,1,-2.0
667,Bombilla,2,1,8.0
667,Yerba mate,3,1,8.0
667,Kalebas,4,1,15.0
666,Yerba mate,1,2,8.0
666,Kalebas,2,1,15.0
665,Yerba mate set,1,1,-5.0
665,Bombilla,2,1,8.0
665,Yerba mate,3,1,10.0
665,Kalebas - Traditioneel,4,1,15.0
664,Yerba mate set,1,1,-5.0
664,Bombilla,2,1,8.0
664,Yerba mate,3,1,10.0
664,Kalebas - Traditioneel,4,1,15.0
657,Yerba mate set compleet,1,1,32.19
656,Yerba mate set,1,1,-4.13
656,Bombilla,2,1,6.61
656,Yerba mate,3,1,8.26
656,Kalebas - Traditioneel,4,1,12.4
655,Yerba mate set,1,1,-4.13
655,Bombilla,2,1,6.61
655,Yerba mate,3,1,8.26
655,Kalebas - Traditioneel,4,1,12.4
654,Yerba mate set,1,1,-4.13
654,Bombilla,2,1,6.61
654,Yerba mate,3,1,9.17
654,Kalebas - Traditioneel,4,1,12.4
653,Yerba mate set,1,1,-4.13
653,Bombilla,2,1,6.61
