,ITEM TYPE,ITEM CODE,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS
,,,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum
204,BEER,11441,1.0,17.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,BEER,11469,0.0,4.0,1.75,14.0,0.0,2.75,0.90625,7.25,0.0,5.0,1.375,11.0
206,BEER,11477,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,BEER,11480,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,BEER,11494,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,BEER,11496,2.0,11.0,6.111111111111111,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,BEER,11520,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,BEER,11521,1.0,2.0,1.3333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,BEER,11522,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,BEER,11523,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,BEER,11527,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,BEER,11531,0.0,19.0,6.222222222222222,56.0,0.0,4.0,0.8888888888888888,8.0,0.0,6.0,1.0,9.0
216,BEER,11535,0.0,29.75,15.975,159.75,0.0,7.0,4.07,40.7,1.0,8.0,4.8,48.0
